T,S,Spread
10/01/12,9.81,0.270914
09/28/12,9.49,0.290254
09/27/12,9.74,0.250696
09/26/12,9.49,0.269219
09/25/12,9.59,0.253442
09/24/12,9.88,0.257956
09/21/12,10.1,0.227479
09/20/12,10.12,0.223431
09/19/12,10.17,0.20664
09/18/12,9.87,0.188981
09/17/12,9.91,0.182125
09/14/12,9.97,0.164659
09/13/12,10.03,0.22948
09/12/12,9.94,0.191171
09/11/12,9.81,0.212956
09/10/12,9.79,0.237036
09/07/12,9.87,0.218116
09/06/12,9.84,0.183066
09/05/12,9.61,0.269122
09/04/12,9.31,0.268141
08/31/12,9.13,0.28283
08/30/12,9.12,0.213776
08/29/12,9.11,0.193723
08/28/12,9,0.368987
08/27/12,8.95,0.342377
08/24/12,8.89,0.321387
08/23/12,8.52,0.333687
08/22/12,8.75,0.323082
08/21/12,8.75,0.232045
08/20/12,8.76,0.234119
08/17/12,8.7,0.223063
08/16/12,8.85,0.194403
08/15/12,8.8,0.227714
08/14/12,8.69,0.290543
08/13/12,8.58,0.317853
08/10/12,8.18,0.321071
08/09/12,8.17,0.301077
08/08/12,8.17,0.31615
08/07/12,8.15,0.318038
08/06/12,7.97,0.393649
08/03/12,8.14,0.353984
08/02/12,7.87,0.406462
08/01/12,8.04,0.422931
07/31/12,8.45,0.452762
07/30/12,8.38,0.427634
07/27/12,8.34,0.384369
07/26/12,8.13,0.445454
07/25/12,8.11,0.464969
07/24/12,7.85,1.477446
07/23/12,7.58,1.468914
07/20/12,6.75,1.475278
07/19/12,6.69,1.429212
07/18/12,6.73,1.450147
07/17/12,6.69,1.419209
07/16/12,6.7,1.449208
07/13/12,6.71,1.420207
07/12/12,6.51,1.434814
07/11/12,6.54,1.411747
07/10/12,6.58,1.416873
07/09/12,6.57,1.402805
07/06/12,6.5,1.377672
07/05/12,6.65,1.358001
07/03/12,6.73,1.348734
07/02/12,6.57,1.35733
06/29/12,6.51,1.343827
06/28/12,6.01,1.374202
06/27/12,6.13,1.331457
06/26/12,5.95,1.338245
06/25/12,6,1.338306
06/22/12,6.1,1.291433
06/21/12,5.93,1.303229
06/20/12,6.14,1.310625
06/19/12,6.21,1.331748
06/18/12,5.91,1.347136
06/15/12,5.88,1.363996
06/14/12,6.06,1.291238
06/13/12,5.9,1.311324
06/12/12,6.02,1.265586
06/11/12,6.01,1.308651
06/08/12,6.09,1.288717
06/07/12,5.95,1.278505
06/06/12,6.01,1.247571
06/05/12,5.86,1.28428
06/04/12,5.79,1.284567
06/01/12,5.8,1.322132
05/31/12,6.12,1.309334
05/30/12,6.07,1.268618
05/29/12,6.12,1.196824
05/25/12,6.09,1.208169
05/24/12,6.17,1.176893
05/23/12,6.2,1.2044
05/22/12,6.03,1.193882
05/21/12,6.05,1.213027
05/18/12,6.02,1.200952
05/17/12,6.16,1.22032
05/16/12,6.46,1.184068
05/15/12,6.62,1.189223
05/14/12,6.63,1.188531
05/11/12,6.66,1.176379
05/10/12,6.76,1.18869
05/09/12,6.86,1.192997
05/08/12,6.79,1.208752
05/07/12,6.76,1.194592
05/04/12,6.69,1.19051
05/03/12,6.87,1.18182
05/02/12,6.92,1.179975
05/01/12,6.88,1.155967
04/30/12,6.87,1.188384
04/27/12,6.97,1.144122
04/26/12,6.82,1.160798
