T,1Y,2Y,3Y,4Y,5Y,7Y,10Y,30Y
2001-01-02,4.692,4.565,4.655,4.755,4.87,5.102,5.345,5.742
2001-01-03,4.619,4.5715,4.655,4.76,4.87,5.089,5.306,5.716
2001-01-04,4.526,4.535,4.665,4.7725,4.885,5.103,5.324,5.734
2001-01-05,4.458,4.4588,4.5888,4.7138,4.83,5.046,5.278,5.703
2001-01-08,4.451,4.4738,4.585,4.705,4.83,5.05,5.264,5.694
2001-01-09,4.493,4.565,4.675,4.785,4.9,5.101,5.309,5.734
2001-01-10,4.577,4.665,4.77,4.875,4.975,5.149,5.342,5.772
2001-01-11,4.602,4.625,4.755,4.845,4.94,5.138,5.35,5.79
2001-01-12,4.598,4.675,4.785,4.875,4.975,5.178,5.388,5.835
2001-01-15,4.643,4.685,4.779,4.87,4.965,5.17,5.376,5.816
2001-01-16,4.588,4.675,4.755,4.869,4.95,5.16,5.379,5.829
2001-01-17,4.606,4.698,4.783,4.865,4.957,5.144,5.346,5.796
2001-01-18,4.563,4.6388,4.745,4.825,4.9115,5.13,5.355,5.81
2001-01-19,4.539,4.625,4.74,4.83,4.92,5.15,5.384,5.855
2001-01-22,4.541,4.64,4.745,4.845,4.945,5.172,5.402,5.872
2001-01-23,4.543,4.635,4.7363,4.825,4.93,5.142,5.38,5.85
2001-01-24,4.586,4.695,4.795,4.9,4.98,5.186,5.399,5.839
2001-01-25,4.614,4.735,4.835,4.915,5.01,5.2,5.393,5.83
2001-01-26,4.615,4.755,4.845,4.925,5.01,5.211,5.4,5.83
2001-01-29,4.62,4.72,4.8088,4.895,4.99,5.179,5.387,5.819
2001-01-30,4.613,4.655,4.755,4.84,4.935,5.14,5.357,5.789
2001-01-31,4.533,4.6038,4.705,4.79,4.895,5.107,5.337,5.787
2001-02-01,4.505,4.6338,4.695,4.785,4.88,5.095,5.293,5.76
2001-02-02,4.544,4.6288,4.705,4.8,4.885,5.085,5.303,5.736
2001-02-05,4.546,4.605,4.6888,4.765,4.86,5.058,5.275,5.71
2001-02-06,4.544,4.6338,4.705,4.79,4.88,5.08,5.281,5.71
2001-02-07,4.551,4.6125,4.695,4.7725,4.8625,5.058,5.27,5.702
2001-02-08,4.554,4.655,4.7325,4.825,4.91,5.102,5.31,5.744
2001-02-09,4.591,4.625,4.705,4.79,4.88,5.0695,5.273,5.708
2001-02-12,4.564,4.635,4.715,4.7963,4.8863,5.085,5.277,5.702
2001-02-13,4.565,4.635,4.725,4.805,4.89,5.1,5.302,5.745
2001-02-14,4.575,4.655,4.735,4.825,4.91,5.108,5.308,5.748
2001-02-15,4.608,4.725,4.825,4.905,4.995,5.18,5.364,5.793
2001-02-16,4.618,4.705,4.785,4.885,4.975,5.161,5.361,5.786
2001-02-19,4.613,4.7,4.795,4.8645,4.965,5.148,5.349,5.777
2001-02-20,4.626,4.725,4.815,4.901,4.991,5.177,5.377,5.807
2001-02-21,4.644,4.7388,4.8263,4.915,5.0063,5.2,5.405,5.841
2001-02-22,4.683,4.745,4.82,4.92,5.015,5.2045,5.405,5.844
2001-02-23,4.691,4.715,4.7975,4.8863,4.9763,5.164,5.371,5.806
2001-02-26,4.649,4.69,4.771,4.86,4.952,5.1565,5.375,5.82
2001-02-27,4.616,4.615,4.695,4.788,4.883,5.09,5.31,5.762
2001-02-28,4.539,4.605,4.685,4.7745,4.864,5.0815,5.306,5.761
2001-03-01,4.532,4.61,4.685,4.772,4.867,5.079,5.294,5.755
2001-03-02,4.563,4.62,4.705,4.803,4.897,5.094,5.309,5.77
2001-03-05,4.585,4.64,4.72,4.812,4.906,5.103,5.323,5.785
2001-03-06,4.609,4.61,4.695,4.767,4.863,5.092,5.322,5.794
2001-03-07,4.58,4.59,4.675,4.761,4.861,5.073,5.31,5.78
2001-03-08,4.569,4.57,4.655,4.7425,4.8413,5.05,5.2713,5.74
2001-03-09,4.567,4.58,4.665,4.759,4.856,5.053,5.278,5.75
2001-03-12,4.576,4.575,4.665,4.747,4.845,5.05,5.255,5.72
2001-03-13,4.553,4.587,4.672,4.766,4.866,5.065,5.28,5.75
2001-03-14,4.568,4.535,4.635,4.691,4.791,5.033,5.258,5.74
2001-03-15,4.511,4.51,4.61,4.699,4.799,5.021,5.26,5.76
2001-03-16,4.495,4.485,4.575,4.685,4.793,5.0025,5.2375,5.7575
2001-03-19,4.487,4.485,4.585,4.69,4.83,5.023,5.2525,5.7675
2001-03-20,4.483,4.51,4.6075,4.7125,4.8175,5.03,5.2575,5.7675
2001-03-21,4.447,4.4225,4.52,4.654,4.766,4.975,5.2125,5.716
2001-03-22,4.348,4.335,4.45,4.543,4.6695,4.922,5.164,5.674
2001-03-23,4.317,4.35,4.455,4.581,4.697,4.93,5.1815,5.709
2001-03-26,4.315,4.3673,4.4888,4.591,4.706,4.953,5.203,5.719
2001-03-27,4.301,4.4288,4.5233,4.666,4.7875,4.993,5.229,5.755
2001-03-28,4.329,4.3838,4.4963,4.615,4.73,4.9525,5.196,5.711
2001-03-29,4.307,4.3975,4.5113,4.633,4.75,4.984,5.233,5.7425
2001-03-30,4.322,4.3635,4.475,4.5975,4.7175,4.95,5.203,5.721
2001-04-02,4.314,4.41,4.53,4.654,4.769,4.991,5.257,5.774
2001-04-03,4.348,4.3875,4.505,4.621,4.742,4.989,5.241,5.758
2001-04-04,4.304,4.395,4.505,4.645,4.768,5.01,5.27,5.787
2001-04-05,4.339,4.4025,4.52,4.647,4.774,5.016,5.27,5.787
2001-04-06,4.351,4.3575,4.475,4.579,4.701,4.952,5.212,5.712
2001-04-09,4.297,4.3513,4.465,4.578,4.7,4.9625,5.2225,5.7375
2001-04-10,4.291,4.405,4.535,4.68,4.804,5.0325,5.2925,5.7925
2001-04-11,4.337,4.5375,4.6225,4.7475,4.8695,5.0925,5.3375,5.8225
2001-04-12,4.536,4.6225,4.6875,4.7825,4.895,5.1025,5.3375,5.8075
2001-04-17,4.578,4.6475,4.7175,4.818,4.916,5.144,5.375,5.845
2001-04-18,4.626,4.5725,4.6575,4.761,4.871,5.132,5.375,5.845
2001-04-19,4.479,4.6525,4.75,4.8525,4.9675,5.193,5.444,5.914
2001-04-20,4.591,4.69,4.785,4.8865,4.9925,5.205,5.436,5.9205
2001-04-23,4.579,4.655,4.735,4.8275,4.9325,5.1475,5.38,5.8675
2001-04-24,4.642,4.7175,4.805,4.904,5.004,5.209,5.421,5.8825
2001-04-25,4.639,4.6925,4.775,4.858,4.963,5.177,5.3975,5.8675
2001-04-26,4.62,4.63,4.72,4.796,4.912,5.123,5.352,5.8185
2001-04-27,4.577,4.705,4.8,4.925,5.032,5.217,5.443,5.918
2001-04-30,4.692,4.8525,4.905,5.019,5.117,5.281,5.477,5.9435
2001-05-02,4.728,4.8175,4.9,4.985,5.0775,5.279,5.482,5.937
2001-05-03,4.729,4.7738,4.85,4.9375,5.0325,5.2275,5.4313,5.8875
2001-05-04,4.687,4.7425,4.8175,4.905,5.0025,5.184,5.395,5.8555
2001-05-07,4.665,4.7205,4.7965,4.8775,4.969,5.184,5.396,5.851
2001-05-08,4.636,4.7025,4.78,4.8725,4.9675,5.16,5.381,5.836
2001-05-09,4.631,4.6525,4.7375,4.8275,4.9225,5.1325,5.3575,5.8375
2001-05-10,4.576,4.53,4.63,4.7375,4.8525,5.104,5.359,5.834
2001-05-11,4.391,4.535,4.67,4.7975,4.9175,5.1675,5.4325,5.9625
2001-05-14,4.446,4.5875,4.725,4.86,4.9825,5.246,5.502,6.042
2001-05-15,4.433,4.6115,4.7375,4.8695,4.9975,5.234,5.484,6.0195
2001-05-16,4.424,4.578,4.717,4.8545,4.9835,5.2285,5.483,6.023
2001-05-17,4.442,4.588,4.72,4.85,4.9725,5.2175,5.47,5.9725
2001-05-18,4.44,4.6305,4.751,4.874,4.998,5.223,5.459,5.957
2001-05-21,4.491,4.6155,4.7465,4.87,4.9885,5.219,5.4635,5.9425
2001-05-22,4.458,4.6565,4.776,4.9025,5.027,5.2655,5.513,5.9925
2001-05-23,4.505,4.63,4.764,4.8925,5.0175,5.256,5.531,6.016
2001-05-24,4.485,4.6195,4.73,4.865,5,5.275,5.537,6.0325
2001-05-25,4.479,4.6375,4.775,4.9075,5.0425,5.2975,5.5575,6.0475
2001-05-28,4.475,4.585,4.725,4.86,4.995,5.278,5.535,6.035
2001-05-29,4.456,4.5875,4.727,4.869,5.005,5.251,5.5125,6.011
2001-05-30,4.439,4.582,4.74,4.883,5.0265,5.278,5.548,6.033
2001-05-31,4.434,4.5935,4.7455,4.895,5.0395,5.292,5.556,6.0355
2001-06-01,4.396,4.5175,4.665,4.822,4.964,5.216,5.4765,5.958
2001-06-04,4.359,4.5005,4.645,4.7975,4.944,5.2115,5.4695,5.955
2001-06-05,4.349,4.437,4.633,4.7275,4.872,5.141,5.409,5.91
2001-06-06,4.304,4.46,4.6115,4.7665,4.912,5.172,5.4355,5.93
2001-06-07,4.307,4.47,4.61,4.765,4.9145,5.191,5.46,5.9635
2001-06-08,4.321,4.4795,4.6315,4.776,4.9195,5.1865,5.443,5.931
2001-06-11,4.315,4.4775,4.62,4.7675,4.9075,5.1695,5.4295,5.91
2001-06-12,4.318,4.5115,4.6535,4.7785,4.9135,5.173,5.4335,5.9325
2001-06-13,4.385,4.5585,4.68,4.815,4.9525,5.1875,5.4425,5.938
2001-06-14,4.379,4.4995,4.6265,4.753,4.88,5.1325,5.3915,5.8925
2001-06-15,4.347,4.47,4.6095,4.75,4.883,5.141,5.396,5.896
2001-06-18,4.334,4.4515,4.5875,4.7285,4.865,5.1265,5.3885,5.904
2001-06-19,4.326,4.4735,4.605,4.7525,4.8895,5.145,5.416,5.9365
2001-06-20,4.302,4.4375,4.575,4.7225,4.8585,5.1145,5.382,5.904
2001-06-21,4.269,4.414,4.559,4.7125,4.8525,5.11,5.3725,5.8925
2001-06-22,4.262,4.3735,4.5025,4.6475,4.7875,5.069,5.337,5.8545
2001-06-25,4.245,4.3575,4.5085,4.664,4.8085,5.089,5.3655,5.888
2001-06-26,4.231,4.3845,4.5435,4.7025,4.8475,5.123,5.404,5.925
2001-06-27,4.26,4.3685,4.5135,4.682,4.827,5.102,5.38,5.896
