S,yield
27.465,10.00952142
27.82908163,9.823187471
28.19316327,9.641245311
28.5572449,9.463694939
28.92132653,9.290536353
29.28540816,9.121769555
29.6494898,8.957394543
30.01357143,8.797411318
30.37765306,8.64181988
30.74173469,8.490620228
31.10581633,8.343812364
31.46989796,8.201396287
31.83397959,8.063371996
32.19806122,7.929739492
32.56214286,7.800498775
32.92622449,7.675649845
33.29030612,7.555192702
33.65438776,7.439127345
34.01846939,7.327453776
34.38255102,7.220171993
34.74663265,7.117281998
35.11071429,7.018783789
35.47479592,6.924677367
35.83887755,6.834962732
36.20295918,6.749639883
36.56704082,6.668708822
36.93112245,6.592169547
37.29520408,6.520022059
37.65928571,6.452266359
38.02336735,6.388902445
38.38744898,6.329930318
38.75153061,6.275349977
39.11561224,6.225161424
39.47969388,6.179364657
39.84377551,6.137959678
40.20785714,6.100946485
40.57193878,6.068325079
40.93602041,6.04009546
41.30010204,6.016257628
41.66418367,5.996811582
42.02826531,5.981757324
42.39234694,5.971094852
42.75642857,5.964824167
43.1205102,5.962945269
43.48459184,5.965458158
43.84867347,5.972362834
44.2127551,5.983659297
44.57683673,5.999347547
44.94091837,6.019427583
45.305,6.043899406
