T,DAX,NKY,SPX,SX5E,SX7E,SXAP,SXKP,PORTFOLIO
08-Oct-14,-0.00437,-0.0052,0.00752,-0.00408,-0.00456,-0.00751,-0.00297,-0.00325
09-Oct-14,0.00047,-0.00327,-0.00907,-0.00155,-0.00464,0.00024,-0.00558,-0.00562
14-Oct-14,0.00179,-0.01046,-0.00653,0.00138,0.00075,0.01232,-0.0013,-0.01723
15-Oct-14,-0.01265,0.00397,-0.00353,-0.01598,-0.02159,-0.01331,-0.01484,-0.00118
16-Oct-14,0.00055,-0.00976,0.00006,-0.0027,-0.00929,0.00638,-0.00521,-0.00183
17-Oct-14,0.01332,-0.00611,0.00556,0.01304,0.01783,0.01485,0.00957,0.00803
20-Oct-14,-0.00655,0.01696,0.00395,-0.00515,-0.00067,-0.0064,0.0003,0.00791
21-Oct-14,0.00835,-0.00891,0.00842,0.00942,0.01406,0.00826,0.00879,0.00919
22-Oct-14,0.00259,0.01134,-0.00318,0.00247,0.00325,0.00355,0.00233,0.00487
23-Oct-14,0.00518,-0.00163,0.00531,0.00513,0.00476,0.00046,0.0058,0.00533
24-Oct-14,-0.00287,0.00436,0.00305,-0.00199,0.00301,-0.00311,0.0035,0.00362
27-Oct-14,-0.00414,0.00275,-0.00065,-0.00454,-0.01012,-0.00586,-0.00306,0.00053
29-Oct-14,0.0007,0.0063,-0.0006,-0.00197,-0.01355,0.00404,0.00263,0.00418
30-Oct-14,0.00153,0.0029,0.0027,0.00193,-0.00145,0.00357,0.00173,0.00279
31-Oct-14,0.00999,0.02047,0.00507,0.01094,0.01157,0.00983,0.00696,0.00755
04-Nov-14,-0.00753,0.01171,-0.00128,-0.01117,-0.01474,-0.00572,-0.00712,0.00037
05-Nov-14,0.007,0.00192,0.00247,0.00812,0.00767,0.00604,0.00999,0.00111
06-Nov-14,0.00288,-0.00373,0.00164,0.00148,-0.00387,0.00425,-0.00279,0.00136
07-Nov-14,-0.00398,0.00227,0.00015,-0.00523,-0.00874,-0.00484,-0.00264,-0.00199
10-Nov-14,0.0028,-0.00258,0.00135,0.00419,0.00129,0.00331,0.00367,0.0046
11-Nov-14,0.0008,0.0088,0.0003,0.0014,-0.00006,-0.00126,0.00933,0.00051
12-Nov-14,-0.00739,0.00185,-0.0003,-0.00809,-0.0133,-0.00752,-0.00013,-0.00081
13-Nov-14,0.00177,0.00492,0.00023,0.00135,0.00297,0.00105,0.00007,0.00141
14-Nov-14,0.00021,0.00244,0.0001,0.00045,0.00347,0.00254,0.00092,0.00232
17-Nov-14,0.0025,-0.01303,0.00032,0.00351,0.00696,0.00087,0.00455,-0.00261
18-Nov-14,0.00695,0.00937,0.00222,0.00499,0.00473,0.00659,0.00169,0.00205
19-Nov-14,0.00075,-0.00139,-0.00065,0.00038,0.00133,-0.00004,-0.00105,-0.0017
20-Nov-14,0.00051,0.0003,0.00085,-0.00292,-0.00909,0.00156,-0.00153,-0.00108
21-Nov-14,0.01124,0.00142,0.00227,0.01269,0.01531,0.01239,0.0081,0.00343
25-Nov-14,0.0057,0.00125,0.00074,0.00432,0.01085,0.01127,0.00208,0.00736
26-Nov-14,0.00239,-0.0006,0.00122,-0.00001,-0.00113,-0.00017,0.00195,0.00352
28-Nov-14,0.00285,0.0019,-0.00111,0.00333,0.00603,0.00515,0.00788,0.0122
01-Dec-14,-0.00076,0.00323,-0.00298,-0.00241,-0.00771,0.00085,-0.00347,-0.00536
02-Dec-14,-0.00128,0.0018,0.00276,0.00073,0.00424,-0.0013,0.00245,0.0074
03-Dec-14,0.00165,0.0014,0.00163,0.00125,0.00369,0.00206,0.00156,0.00028
04-Dec-14,-0.00528,0.00407,-0.0005,-0.00762,-0.01301,-0.0036,-0.0042,0.00534
05-Dec-14,0.01027,0.00081,0.00072,0.01157,0.01672,0.01439,0.01149,0.0071
09-Dec-14,-0.0097,-0.00297,-0.0001,-0.01155,-0.01616,-0.00929,-0.01283,-0.0149
10-Dec-14,0.00027,-0.00988,-0.00716,-0.00163,-0.00366,-0.00221,-0.00265,0.00274
11-Dec-14,0.00277,-0.00389,0.00197,0.00112,-0.00047,0.001,0.00234,0.00204
12-Dec-14,-0.01196,0.00286,-0.0071,-0.01281,-0.01315,-0.01129,-0.01391,-0.00303
15-Dec-14,-0.01196,-0.00686,-0.00276,-0.01212,-0.01386,-0.01252,-0.0069,-0.0042
16-Dec-14,0.01057,-0.00883,-0.0037,0.00966,0.00976,0.01152,0.00607,-0.00237
17-Dec-14,-0.00088,0.00167,0.00875,0.00028,-0.0023,-0.00101,0.00032,0.00497
18-Dec-14,0.01197,0.00996,0.01031,0.01425,0.01426,0.01361,0.01073,0.0113
19-Dec-14,-0.00107,0.01026,0.00198,-0.00172,-0.00522,0.00157,0.00015,0.00128
22-Dec-14,0.00348,0.00034,0.00165,0.00188,0.00186,0.00141,0.0027,0.00307
29-Dec-14,0.00269,0.00233,0.00251,0.00415,0.00211,0.00464,-0.00069,0.01174
05-Jan-15,-0.01498,-0.00105,-0.01266,-0.01591,-0.01476,-0.0174,-0.01145,0.00635
07-Jan-15,0.00222,0.00006,0.00502,0.00272,-0.00187,0.0025,0.00461,-0.004
08-Jan-15,0.01434,0.00719,0.0077,0.01527,0.01251,0.01578,0.01314,0.01057
09-Jan-15,-0.00843,0.00077,-0.00367,-0.01296,-0.02274,-0.00478,-0.00539,-0.00812
13-Jan-15,0.01297,-0.00279,-0.00465,0.01279,0.01349,0.01702,0.01344,-0.00288
14-Jan-15,-0.00545,-0.00748,-0.00253,-0.00617,-0.00755,-0.00761,-0.00389,-0.00448
20-Jan-15,0.0038,0.01274,0.00067,0.00575,0.01454,0.00516,0.00647,0.01542
21-Jan-15,0.00178,-0.00215,0.00205,0.00331,0.00303,0.00328,0.00449,0.0091
22-Jan-15,0.00571,0.00122,0.00658,0.00697,0.00927,0.01322,0.00667,-0.00258
23-Jan-15,0.00881,0.00456,-0.00239,0.00776,-0.00373,0.01155,0.01012,0.00117
26-Jan-15,0.00602,-0.00107,0.00111,0.00405,0.00115,0.00547,0.00152,-0.00047
27-Jan-15,-0.00688,0.00739,-0.00585,-0.00534,-0.00711,-0.01021,-0.00365,-0.01036
28-Jan-15,0.00335,0.00067,-0.0059,-0.00176,-0.01351,0.00535,0.0013,-0.00518
29-Jan-15,0.00109,-0.00465,0.00412,0.00166,0.00443,0.00154,0.00177,-0.00284
30-Jan-15,-0.00176,0.00168,-0.00568,-0.00263,-0.00503,-0.00198,-0.00554,-0.00581
02-Feb-15,0.0054,-0.00287,0.00559,0.00241,0.00234,0.00431,-0.00298,-0.00203
03-Feb-15,0.00252,-0.00553,0.00623,0.00564,0.01571,0.00679,0.00651,-0.00035
04-Feb-15,0.00081,0.00851,-0.00181,0.00017,-0.00006,0.00335,0.00218,-0.00011
05-Feb-15,-0.00024,-0.0043,0.00445,-0.00084,-0.00537,0.00295,-0.00027,-0.001
06-Feb-15,-0.00236,0.00356,-0.00149,-0.00138,0.0025,-0.00086,0.00198,-0.00394
09-Feb-15,-0.00739,0.00156,-0.00185,-0.00649,-0.00942,-0.01277,-0.00634,-0.00362
10-Feb-15,0.00366,-0.00146,0.00461,0.00457,0.0065,0.00683,0.00712,0.00462
12-Feb-15,0.00665,0.00797,0.00416,0.0044,0.01046,0.01017,-0.00022,0.00438
13-Feb-15,0.00174,-0.00161,0.00177,0.00379,0.01304,0.00089,0.00052,0.00613
24-Feb-15,0.00291,0.0032,0.0012,0.00338,0.00324,-0.00135,0.00083,0.01654
25-Feb-15,0.00018,-0.00043,-0.00033,-0.00065,-0.00648,-0.00577,0.00053,-0.00326
26-Feb-15,0.00451,0.00466,-0.00064,0.00405,0.00589,0.00511,0.00571,0.00311
02-Mar-15,0.00033,0.00067,0.00265,-0.00096,-0.00009,0.0016,0.00019,-0.00289
03-Mar-15,-0.00498,-0.00027,-0.00198,-0.00511,-0.00901,-0.0091,-0.00396,-0.00656
04-Mar-15,0.00422,-0.00258,-0.00191,0.00418,0.00392,0.00771,0.0057,-0.00036
05-Mar-15,0.00431,0.00112,0.00052,0.00419,0.00465,0.00482,0.00109,0.00148
06-Mar-15,0.00177,0.00505,-0.0062,-0.00007,0.00204,0.00364,-0.00336,-0.00166
09-Mar-15,0.00117,-0.00415,0.00171,-0.00088,-0.00079,0.00165,-0.0049,-0.00012
10-Mar-15,-0.00308,-0.00291,-0.00743,-0.00521,-0.00576,-0.0034,-0.00429,-0.00477
11-Mar-15,0.01139,0.00136,-0.00083,0.0099,0.00747,0.01689,0.00829,0.00436
12-Mar-15,-0.00024,0.00616,0.00544,-0.00098,0.0009,-0.0003,-0.00024,0.00532
13-Mar-15,0.00375,0.00598,-0.00265,0.00177,0.00133,0.00615,0.00171,0.00213
16-Mar-15,0.0096,-0.00018,0.00584,0.00596,0.00566,0.00965,0.0019,0.00704
17-Mar-15,-0.00672,0.00429,-0.00144,-0.00407,-0.00476,-0.01113,-0.00335,0.00383
18-Mar-15,-0.00211,0.00239,0.00525,-0.00043,-0.00394,-0.01145,-0.00068,0.00472
19-Mar-15,-0.00085,-0.00151,-0.00212,0.00026,0.00377,0.00475,0.00118,0.00134
20-Mar-15,0.00508,0.00186,0.0039,0.0065,0.01123,0.00294,0.0038,0.00512
23-Mar-15,-0.00521,0.00429,-0.00076,-0.00316,0.00205,-0.01229,-0.00167,-0.00176
24-Mar-15,0.00399,-0.0009,-0.00267,0.00378,0.00821,0.00336,0.00222,-0.00053
26-Mar-15,-0.00079,-0.00609,-0.00103,-0.00168,-0.0022,0.00423,-0.00124,-0.00778
27-Mar-15,0.0009,-0.00416,0.00103,0.00109,0.00033,-0.00033,-0.00124,0.00318
30-Mar-15,0.00789,0.00282,0.00528,0.00572,0.00763,0.00998,0.00179,0.00578
31-Mar-15,-0.00433,-0.0046,-0.00384,-0.00356,-0.00242,-0.00495,-0.00363,-0.00405
01-Apr-15,0.00128,-0.00391,-0.00173,0.00205,0.00422,-0.00124,0.00021,-0.00222
08-Apr-15,-0.00315,0.00329,0.00116,-0.00302,-0.00248,-0.00211,-0.00179,0.00401
14-Apr-15,-0.00393,0.00007,0.00071,-0.00505,-0.0095,-0.00448,-0.00079,0.00124
15-Apr-15,0.00013,-0.00085,0.00223,0.00218,0.00421,0.00175,0.00087,0.00453
16-Apr-15,-0.00833,0.00035,-0.00034,-0.00596,-0.0094,-0.00284,-0.00362,0.00322
17-Apr-15,-0.01137,-0.00512,-0.00494,-0.00909,-0.01269,-0.00753,-0.00671,-0.00786
20-Apr-15,0.00749,-0.00041,0.00399,0.00517,0.00642,0.00338,0.00474,0.00209
21-Apr-15,0.00174,0.00603,-0.00064,0.00016,-0.00288,0.00259,0.00123,0.00466
22-Apr-15,-0.00263,0.00488,0.0022,0.0006,0.00581,-0.00112,0.00235,0.00316
23-Apr-15,-0.00529,0.00116,0.00102,-0.00311,-0.00036,-0.00119,0.0009,-0.00128
24-Apr-15,0.00322,-0.00362,0.00098,0.00188,0.00604,0.00508,0.00361,0.00739
27-Apr-15,0.00832,-0.0008,-0.0018,0.00667,0.0053,0.01089,0.00159,-0.0034
28-Apr-15,-0.00829,0.00164,0.0012,-0.0065,-0.0034,-0.00843,-0.00522,-0.00734
30-Apr-15,-0.01334,-0.01183,-0.00605,-0.01183,-0.00951,-0.01432,-0.00722,-0.01245
07-May-15,-0.00176,-0.0051,0.00052,-0.00719,-0.00186,-0.00534,-0.00402,-0.00305
08-May-15,0.01134,0.00196,0.00581,0.01124,0.00781,0.01345,0.01133,0.00633
11-May-15,-0.00135,0.00538,-0.00222,-0.00299,0.00022,-0.00167,0.00285,0.00027
12-May-15,-0.00754,0.00009,-0.00128,-0.00619,-0.00398,-0.01068,-0.00556,-0.0033
13-May-15,-0.0046,0.00308,-0.00013,-0.0024,0.00215,-0.00384,-0.00039,0.00069
15-May-15,-0.00426,0.0036,0.00033,-0.00353,-0.0021,-0.00682,-0.00361,-0.00122
19-May-15,0.0096,0.00296,-0.00028,0.00973,0.00778,0.01523,0.00358,-0.00281
20-May-15,-0.00018,0.00367,-0.0004,0.00153,0.00153,0.00009,0.00673,-0.00402
21-May-15,0.00059,0.00014,0.00101,0.00062,-0.00147,-0.00013,0.00174,0.00123
22-May-15,-0.00182,0.00132,-0.00097,-0.00113,-0.00049,-0.00116,-0.00017,0.00286
26-May-15,-0.00704,0.00369,-0.00449,-0.00712,-0.0121,-0.00497,-0.00537,-0.00316
27-May-15,0.00542,0.00075,0.00396,0.00756,0.00958,0.0054,0.00388,0.00201
28-May-15,-0.00347,0.00167,-0.00055,-0.00381,-0.00401,-0.00742,-0.00198,-0.00559
29-May-15,-0.00992,0.00025,-0.00275,-0.00961,-0.00664,-0.00999,-0.00504,-0.00359
02-Jun-15,-0.00409,-0.00056,-0.00044,-0.0016,0.00471,-0.00603,-0.00243,0.0067
03-Jun-15,0.00347,-0.00148,0.00092,0.00267,0.00443,0.00195,-0.00211,0.00124
04-Jun-15,-0.00302,0.00031,-0.00376,-0.00334,-0.0027,-0.00426,-0.00156,-0.00175
05-Jun-15,-0.00553,-0.00058,-0.00062,-0.0057,-0.00749,-0.00536,-0.00555,-0.00527
08-Jun-15,-0.00516,-0.00008,-0.00282,-0.00519,-0.00494,-0.00816,-0.00333,0.001
09-Jun-15,-0.0025,-0.00773,0.00018,-0.00144,-0.00046,0.00433,-0.00349,-0.00523
10-Jun-15,0.0103,-0.00108,0.0052,0.00867,0.00933,0.01207,0.00777,0.00319
11-Jun-15,0.00259,0.00723,0.00075,0.00312,0.00283,0.00316,-0.00021,-0.00087
